中文,英文
阿膠, A Chiao (Corii Asini Colla)
龍涎香, Ambergris
鹿角（包括中藥用）," Antlers (incl, for Chinese drugs)"
葛根，生鮮、冷藏或乾," Arrowroot, fresh, chilled or dried"
乾榔樁（大腹子）," Betelnuts, dried (Ta-Fu-Tzu)"
黃藥（牛黃、猴棗在內）（包括中藥用）, Bezoar (incl. cow bezoar and monkey bezoar) (incl. for Chinese drugs)
去殼苦杏仁，鮮或乾," Bitter almonds, shelled, fresh or dried"
龍腦，冰片," Borneol, champhor baroos"
砂仁（殼砂仁），壓碎或研磨者," Cardamoms(Amomi Fructus), inferior, crushed or ground"
砂仁（殼砂仁），未壓碎或未研磨者," Cardamoms(Amomi Fructus), inferior, neither crushed nor ground"
草荳蔻，未壓碎或未研磨者," Cardamoms, brown, neither crushed nor ground"
柴胡, Ch'ai Hu (Radix Bupleuri)
沈香, Ch'en Hsiang (Lignum Aqailariae)
全蠍, Chen Hsieh (Bathus)
雞冠花, Chi Kuan Hua (Flos Celosiae Cristatae)
吉林人參（包括參鬚、參蒂、碎參）," Chie Lin ginseng (incl. fibrous roots, stems, broken ginseng)"
知母, Chih Mu (Rhizoma Anemarrhenae)
茯苓，切片絲," China root, Ch'ieh P'ien Szu (Poria)"
茯苓，平片," China root, P'ing P'ien (Poria)"
九香蟲, Chiu Hsiang Chung (Coridius)
菊花，乾燥," Chrysanthemum morifolium Ramat, dried"
川芎, Ch'uan Kung (Rhizoma Ligustici Wallichii)
錫蘭肉桂，未壓碎或未研磨者," Cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground"
肉桂及肉桂花，已壓碎或研磨者," Cinnamon and cinnamon-tree flowers, crushed or ground"
肉桂花及其他肉桂，未壓碎或未研磨者," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground"
丁香（全果、花苞及果柄），壓碎或研磨者," Cloves (whole fruit, cloves and stems), crushed or ground"
丁香（全果、花苞及果柄），未壓碎或未研磨者," Cloves (whole fruit, cloves and stems), neither crushed nor ground"
山楂," Crataegi Fructus, dried"
血竭, Dragon's-blood gum
兒茶, Erh Ch'a (Catechu)
芡實，新鮮或乾燥," Euryales,fresh or dried."
番瀉葉（施那）, Fan Hsieh Yeh (Folium Sennae)
防風, Fang Feng (Radix Ledebouriellae)
方茯苓，茯神，皮茯苓," Fang Fu Ling, Fu Shen, P'i Fu Ling (Poria)"
絞股藍（七葉膽、五葉參）, Fiveleaf gynostemma
白果（銀杏），鮮或乾," Ginkgo (white nuts), fresh or dried"
枸杞子, Gou Chi T'zu (Fructus Llycii)
阿魏, Gum asafoetida
乾海龍," Hai lung (Syngnathus), dried"
乾海馬," Hai Ma (Hippocampus), dried"
黑、白附片，小黑附片," Hey, Pai Fu P'ien Hsiao Hy Fu P'ien (Rhizoma Typhonii)"
乾紫河車," Hominis placenta, dried"
辛夷, Hsin I (Flos Magnoliae Liliforae)
玄參（元參）, Hsuan Sheng (Yuang Sheng) (Radix Scrophulariae)
黃耆, Huang Chi (Radix Astragali)
黃芩, Huang Ch'in (Radix Scutellariae)
黃連, Huang Lien (Rhizoma Coptidis)
中藥用之大麻子、仁〈火麻子、仁〉，不具發芽活性者," Huo Ma Jen (Cannabis Fructus) for Chinese medicine use, without germinative activeness"
移種參尾、鬚," I Chung Shen Wei, Hsu (ginseng radix)"
一條根, I T'iao Ken (Radix Moghaniae)
高良薑, Kao Liang Chiang (Rhizoma Alpiniae Officinari)
乾蛤蚧," K'o Chiai (Gecko Gecko), dried"
廣橘皮, Kuang Chu P'i (Citri Chachiensis Pericarpium)
乾百合, Lily bulb dried
甘草根, Liquorice roots
羅漢果, Lo Han Kuo (Momordicae Fructus)
其他方式調製或保藏之龍眼," Longan, otherwise prepared or preserved"
蓮子，鮮或乾," Lotus seeds, fresh or dried"
鹿角膠, Lu Chiao Chiao (Cervi Cornus Colla)
鹿角霜（包括中藥用）, Lu Chiao Shuang (Cornu cervi degelatimatum) (incl. for Chinese drugs)
乾鹿茸（包括中藥用）, Lu Jung (Cervi parvum cornu) (incl. for Chinese drugs)
肉荳蔻乾皮，壓碎或研磨者," Mace, crushed or ground"
肉荳蔻乾皮，未壓碎或未研磨者," Mace, neither crushed nor ground"
未列名粗製礦物質藥材," Medicinal substances, mineral, crude"
芥子, Mustard seeds
沒藥, Myrrh gum
天然硫化砷（石黃、雄黃）及國藥用琥珀碎等," Natural arsenic sulphides (hartall orpiment and realgar) and amber (including agglomerated), crushed, for medicinal use"
牛膝、川牛頭、杜牛膝, Niu Hsi (Achyranthis Radix) Ch'uan Niu T'ou Tu Niu Ch'i (Radix Cyathulae)
肉荳蔻，壓碎或研磨者," Nutmegs, crushed or ground"
肉荳蔻，未壓碎或未研磨者," Nutmegs, neither crushed nor ground"
乳香, Olibanum gum
其他節肢動物類藥材, Other arthropoda drugs
其他薑，壓碎或研磨者," Other gingers, crushed or ground"
其他薑，未壓碎或未研磨者," Other gingers, neither crushed nor ground"
其他人參根, Other ginseng roots
其他大麻子、仁〈火麻子、仁〉，不具發芽活性者," Other Huo Ma Jen (Cannabis Fructus), without germinative activeness"
其他無脊椎動物類藥材, Other invertebrates drugs
其他乾燥藥用植物及植物之一部份（包括種子及果實），不論是否已切割壓碎或製粉," Other plants and parts of plants (including seeds and fruits), used for pharmacy, whether or not cut, crushed or powdered, dried"
其他脊椎動物類藥材, Other vertebrates drugs
白朮, Pai Chu (Rhizoma Atractylodis Macrocephalae)
白芍, Pai Shau (Radix Paeonige Alba)
