年度,國家,品項,類別,重量,價值
104,JP," Wood ears (Auricularia spp.) , dried",I,40,50
104,TH," Wood ears (Auricularia spp.) , dried",I,"888,008","67,133"
104,MY," Wood ears (Auricularia spp.) , dried",I,"5,279",547
104,VN," Wood ears (Auricularia spp.) , dried",I,"373,444","29,753"
104,CN, Lily bulb dried,I,"104,529","5,062"
104,CN," Yam, dried",I,"423,226","37,485"
104,VN," Yam, dried",I,"43,740","3,472"
104,JP," Yam, fresh or chilled",I,"3,342,218","294,794"
104,JP," Yam, frozen",I,"1,775",446
104,VN," Yam, frozen",I,"30,901",381
104,CN," Lotus seeds, fresh or dried",I,"1,271,307","69,949"
104,VN," Lotus seeds, fresh or dried",I,"213,533","10,590"
104,CN," Wu Mei (Fructus Mume Praeparatus), dried, in bulk",I,"223,746","6,106"
104,TR," Crataegi Fructus, dried",I,36,38
104,CN," Crataegi Fructus, dried",I,"306,571","6,344"
104,CN," Nutmegs, neither crushed nor ground",I,"2,732",138
104,ID," Nutmegs, neither crushed nor ground",I,"8,565","1,682"
104,IN," Nutmegs, neither crushed nor ground",I,"15,249","5,483"
104,ES," Nutmegs, neither crushed nor ground",I,30,39
104,US," Nutmegs, neither crushed nor ground",I,35,40
104,GB," Nutmegs, neither crushed nor ground",I,18,38
104,GD," Nutmegs, neither crushed nor ground",I,20,42
104,CN," Nutmegs, crushed or ground",I,142,13
104,JP," Nutmegs, crushed or ground",I,10,13
104,IN," Nutmegs, crushed or ground",I,"1,370",848
104,ES," Nutmegs, crushed or ground",I,27,23
104,US," Nutmegs, crushed or ground",I,8,8
104,GB," Nutmegs, crushed or ground",I,28,60
104,LK," Nutmegs, crushed or ground",I,6,7
104,IT," Nutmegs, crushed or ground",I,4,3
104,IN," Mace, neither crushed nor ground",I,100,27
104,LK," Mace, neither crushed nor ground",I,300,138
104,VN," Mace, crushed or ground",I,80,67
104,CN," Cardamoms, brown, neither crushed nor ground",I,"1,524",129
104,GT," Cardamoms, brown, neither crushed nor ground",I,1,1
104,IN," Cardamoms, brown, neither crushed nor ground",I,490,371
104,CN," Cardamoms(Amomi Fructus), inferior, neither crushed nor ground",I,"43,188","15,892"
104,GT," Cardamoms(Amomi Fructus), inferior, neither crushed nor ground",I,"5,000","1,960"
104,LA," Cardamoms(Amomi Fructus), inferior, neither crushed nor ground",I,"11,470",938
104,MY," Cardamoms(Amomi Fructus), inferior, crushed or ground",I,60,52
104,CN," Seeds of cumin, neither crushed nor ground",I,"69,441","7,835"
104,PK," Seeds of cumin, neither crushed nor ground",I,140,13
104,IN," Seeds of cumin, neither crushed nor ground",I,"22,188","1,339"
104,EG," Seeds of cumin, neither crushed nor ground",I,"5,505",172
104,IT," Seeds of cumin, neither crushed nor ground",I,63,86
104,DE," Seeds of cumin, neither crushed nor ground",I,12,22
104,MM," Seeds of cumin, neither crushed nor ground",I,60,2
104,PK," Seeds of cumin, crushed or ground",I,120,12
104,JP," Seeds of cumin, crushed or ground",I,40,19
104,IN," Seeds of cumin, crushed or ground",I,"3,000",253
104,MY," Seeds of cumin, crushed or ground",I,"1,330",466
104,CN," Star anise fructus, neither crushed nor ground",I,"250,415","23,548"
104,PK," Star anise fructus, neither crushed nor ground",I,5,1
104,VN," Star anise fructus, neither crushed nor ground",I,"43,360","2,635"
104,CN," Star anise fructus, crushed or ground",I,"116,025","7,922"
104,MY," Star anise fructus, crushed or ground",I,140,74
104,VN," Star anise fructus, crushed or ground",I,"5,000",303
104,CN, Polygonati Rhizoma,I,"27,724","1,697"
104,CN, Gou Chi T'zu (Fructus Llycii),I,"2,024,918","217,864"
104,CN," Chrysanthemum morifolium Ramat, dried",I,"36,110","3,135"
104,HR," Chrysanthemum morifolium Ramat, dried",I,26,13
104,ZZ," Chrysanthemum morifolium Ramat, dried",I,60,401
104,US," Chrysanthemum morifolium Ramat, dried",I,15,41
104,DE," Chrysanthemum morifolium Ramat, dried",I,54,60
104,CN," Peppermint,fresh or dried.",I,"12,001","1,527"
104,IL," Peppermint,fresh or dried.",I,4,9
104,IN," Peppermint,fresh or dried.",I,2,3
104,ES," Peppermint,fresh or dried.",I,2,2
104,PL," Peppermint,fresh or dried.",I,11,28
104,US," Peppermint,fresh or dried.",I,357,274
104,GB," Peppermint,fresh or dried.",I,116,197
104,EG," Peppermint,fresh or dried.",I,"1,063",298
104,LK," Peppermint,fresh or dried.",I,116,178
104,RS," Peppermint,fresh or dried.",I,35,16
104,CH," Peppermint,fresh or dried.",I,4,5
104,DE," Peppermint,fresh or dried.",I,"9,638","2,215"
104,MA," Peppermint,fresh or dried.",I,2,1
104,CN," Euryales,fresh or dried.",I,"216,034","13,716"
104,CN, Fiveleaf gynostemma,I,"19,992",705
104,VN," Longan, otherwise prepared or preserved",I,"2,000",131
104,CN," K'o Chiai (Gecko Gecko), dried",I,366,418
104,TH," K'o Chiai (Gecko Gecko), dried",I,"28,853","14,751"
104,CN," Hai lung (Syngnathus), dried",I,"1,897",57
104,TH," Hai Ma (Hippocampus), dried",I,60,381
104,CN, Pieh Chia K'o (Amydae carapax) (incl. for Chinese drugs),I,"31,018","2,936"
104,CN," Tortoise shell, Terrapin plastron (incl. for Chinese drugs)",I,"93,271","14,297"
104,ID," Tortoise shell, Terrapin plastron (incl. for Chinese drugs)",I,"124,673","19,027"
104,CN," Antlers (incl, for Chinese drugs)",I,"133,354","17,379"
104,ES," Antlers (incl, for Chinese drugs)",I,"127,641","17,194"
104,CZ," Antlers (incl, for Chinese drugs)",I,"103,457","12,896"
104,RU," Antlers (incl, for Chinese drugs)",I,"118,583","12,557"
104,FI," Antlers (incl, for Chinese drugs)",I,"77,952","9,653"
104,AT," Antlers (incl, for Chinese drugs)",I,"58,980","6,396"
104,PL," Antlers (incl, for Chinese drugs)",I,"48,747","6,160"
104,ID," Antlers (incl, for Chinese drugs)",I,"29,700","2,813"
104,DE," Antlers (incl, for Chinese drugs)",I,"23,693","2,494"
104,SK," Antlers (incl, for Chinese drugs)",I,"20,413","2,370"
104,SE," Antlers (incl, for Chinese drugs)",I,"10,123","1,106"
104,JP," Antlers (incl, for Chinese drugs)",I,"2,000",331
104,NZ, Lu Jung (Cervi parvum cornu) (incl. for Chinese drugs),I,588,803
104,NZ, Ambergris,I,0,58
104,AU, Bezoar (incl. cow bezoar and monkey bezoar) (incl. for Chinese drugs),I,16,393
104,CN, Chen Hsieh (Bathus),I,"1,892",502
104,ID, Chen Hsieh (Bathus),I,393,198
104,ML, Chen Hsieh (Bathus),I,51,53
104,CN, Chiu Hsiang Chung (Coridius),I,360,13
104,CN, Wu Ko Chung (Chrysomyiae Larva),I,304,20
104,CN, Other arthropoda drugs,I,"23,242","6,659"
104,ID, Other arthropoda drugs,I,681,693
104,CN, Shui Chih (Hirudo),I,274,22
104,TH, Shui Chih (Hirudo),I,342,16
104,CN, Ti Lung (Lumbricus),I,"3,398",287
104,JP, Ti Lung (Lumbricus),I,2,118
104,TH, Ti Lung (Lumbricus),I,"22,011","1,724"
104,CN, Pearls for medical use,I,"8,017","1,152"
104,CN, Other invertebrates drugs,I,"96,867","2,363"
104,IN, Other invertebrates drugs,I,"3,140",320
104,CN, Other vertebrates drugs,I,"3,145",370
104,ID, Other vertebrates drugs,I,"1,236",457
104,CN, Silkworm (incl. for Chinese drugs),I,"17,052","10,452"
104,CN," Arrowroot, fresh, chilled or dried",I,"157,796","7,853"
104,CN, Lu Chiao Chiao (Cervi Cornus Colla),I,"4,255","2,026"
104,CN," Bitter almonds, shelled, fresh or dried",I,"431,979","31,299"
104,CN," Ginkgo (white nuts), fresh or dried",I,"98,430","6,743"
104,JP," Ginkgo (white nuts), fresh or dried",I,"1,573",312
104,KR," Ginkgo (white nuts), fresh or dried",I,580,111
104,CN," Red dates, dried.or Chinese jujubes (red). (incl. for Chinese drugs)",I,"3,105,593","146,232"
104,TR, Kuang Chu P'i (Citri Chachiensis Pericarpium),I,"10,005",734
104,CN, Kuang Chu P'i (Citri Chachiensis Pericarpium),I,"324,183","8,330"
104,TR," Cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground",I,5,2
104,ID," Cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground",I,"10,350","1,068"
104,LK," Cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground",I,3,3
104,DE," Cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground",I,47,284
104,VN," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",I,"887,831","54,105"
104,CN," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",I,"757,193","28,184"
104,ID," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",I,"23,211","1,099"
104,LK," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",I,110,58
104,IT," Cinnamon-tree flowers and other cinnamon, neither crushed nor ground",I,14,43
